Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of
Rubber King Tyre Private Limited,Rubber King Tyre Private Limited,Cold,"",53,automotive,jashpalpurohit111@gmail.com,"",http://www.linkedin.com/company/rubber-king-tyre-private-limited,"","",104,Ahmedabad,Gujarat,India,380054,"104, Ahmedabad, Gujarat, India, 380054","",'+91 79268 55619,"Outlook, Microsoft Office 365, Amazon SES, Google translate API, Google Analytics, Microsoft-IIS, Google translate widget, ASP.NET, Multilingual","","","","","","",685fc0be58cfc3000199eb7d,"","Rubber King Tyre Private Limited is a tyre manufacturing company based in Gujarat, India, and a subsidiary of the Gawarvala Group. Established in 1981, it operates four advanced manufacturing plants in Gujarat and has a global presence through its Dubai-based trading unit, G8 International, which was set up in 2006. The company specializes in industrial and automotive tyre solutions, offering a range of products that include solid tyres, pneumatic tyres, and various accessories.

The product lineup features industrial solutions like the Sultan, Jwala, and Vesper tyres for forklifts, as well as specialized tyres such as Agrim for agriculture and Solitrek for port trailers. Rubber King Tyre is committed to quality and sustainability, holding certifications like IATF, ISO 9001, ISO 14001, and ISO 45001. The company focuses on eco-friendly manufacturing practices and serves clients in the industrial, agricultural, and port logistics sectors across North India, supported by a nationwide sales and service network.",1981,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685cfedbf322a900015bcac5/picture,""
Özka Tyre,Özka Tyre,Cold,"",390,automotive,jashpalpurohit111@gmail.com,http://www.ozkalastik.com,http://www.linkedin.com/company/ozkalastik,https://www.facebook.com/ozkalastik,https://twitter.com/OZKALASTIK,74 Belediye Sokak,Izmit,Kocaeli,Turkey,41140,"74 Belediye Sokak, Izmit, Kocaeli, Turkey, 41140","motor vehicle manufacturing, agricultural tires, industrial tires, light commercial vehicle tires, radial tractor tires, harvester tires, forestry tires, flotation tires, implement tires, forklift tires, compactor tires, precured tread, tire manufacturing, tire development, supply chain management, customer relations, after-sales service, technical services, quality management, iso certification, sustainability, innovation, digital transformation, tire performance, retailer collaboration, b2b application, market research, r&d center, product testing, prototype production, tire design, global market, customer feedback, waste recycling, environmental impact, safety standards, data protection, crm system, advertising campaigns, supply chain optimization, dealer network, production capacity, employment opportunities, network security, data management, customer privacy, performance analysis, logistics management, business continuity planning, manufacturing efficiency, financial management, automotive, logistics & supply chain, environmental services, renewables & environment, information technology & services",'+90 262 349 5000,"","","","","","","",685fc0be58cfc3000199eb87,"","Özka Tyre, founded in 1991, is a prominent manufacturer of agricultural and industrial tires based in Kocaeli, Turkey. As a subsidiary of the Kanık Group, the company employs around 1,200 people and adheres to international standards, holding certifications such as ISO 9001 and ISO 14001. Özka has been recognized as Turkey’s export champion, achieving significant export figures and a total turnover of 573 million TL in 2018.

The company specializes in a wide range of durable tires, including agricultural tires like tractor and harvester tires, as well as industrial tires for forklifts and heavy construction equipment. Özka produces approximately 1.5 million units annually and has a strong focus on customer satisfaction through its Technical Services Team, which offers global support. With a commitment to sustainability, Özka also engages in scrap tire recycling. The company serves over 80 countries, targeting key markets in Europe, the Middle East, and the U.S., and collaborates with numerous dealers and distributors for its products.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6852856147280400013499e6/picture,""
BIRLA TYRE,BIRLA TYRE,Cold,"",520,transportation/trucking/railroad,jashpalpurohit111@gmail.com,http://www.birlatyre.com,http://www.linkedin.com/company/birla-tyre,https://facebook.com/Birla-Tyres-128324457271502/,https://twitter.com/birlatyreindia,"",Singapore,"",Singapore,"","Singapore, Singapore","truck transportation, transportation/trucking/railroad",033-22624354,"Gmail, Google Apps","",Other,"",2020-02-01,73388000,"",685fc0be58cfc3000199eb7e,5531,"Birla Tyres, part of Kesoram Industries Limited, was established in 1991 and is headquartered in Kolkata, India. The company specializes in manufacturing a diverse range of tyres for two-wheelers, three-wheelers, scooters, motorcycles, and commercial vehicles such as trucks and buses. Birla Tyres is known for its commitment to quality and customer satisfaction, receiving accreditation from international organizations like DNV Business Assurance.

The company has a strong global presence, exporting its products to over 50 countries, including Bangladesh, Vietnam, and various regions in Africa, Asia, and South America. Birla Tyres collaborates with Pirelli to enhance its product offerings, particularly in radial tyres, and operates a modern plant in Balasore, Odisha. With a network of over 3,500 dealers and a dedicated sales team, Birla Tyres continues to expand its market reach and serve original equipment manufacturers (OEMs) effectively.",1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/60f61411fb1e2e0001a8f15f/picture,KESORAM INDUSTRIES LTD. (kesocorp.com)
Rubber King Tyre Group,Rubber King Tyre Group,Cold,"",150,automotive,jashpalpurohit111@gmail.com,http://www.rubberkingtyres.com,http://www.linkedin.com/company/rubberking,https://facebook.com/pages/Rubber-King-Tyres-India-Pvt-Ltd/156880214448832,"",48 S G Highway,Ahmedabad,Gujarat,India,380054,"48 S G Highway, Ahmedabad, Gujarat, India, 380054","butyl tubes, flaps, curing bags, curing baldders, solid tyres, motor vehicle parts manufacturing, pneumatic tyres, automotive inner tubes, tyre flaps, tyre curing bladders, material handling, industrial applications, agricultural tyres, off-the-road tyres, durability, innovation, customer-centric, quality control, global presence, manufacturing excellence, energy efficiency, sustainable practices, advanced compounding techniques, customer satisfaction, export recognition, industrial equipment, construction machinery, oems, aftermarket, high-performance solutions, tyre technology, customer loyalty, competitive analysis, tyre manufacturing, rubber products, b2b market, international clientele, maintenance cost reduction, operational efficiency, six sigma, kaizen methodologies, inner tubes, bladders, engineering design, rubber compounding, industrial tyres, wide range of products, tire manufacturing, solid cushion tyres, fitment press, non marking tyres, automotive applications, high-quality rubber, oem suppliers, certifications, testing standards, environmentally friendly, premium tyres, tread compound, cushion compound, cost per hour, forklift tyres, long-lasting performance, heavy-duty applications, abrasion resistance, raw materials, tyre maintenance, customized products, light duty tyres, medium intensity usage, safety line, tyre change planning, forklift manufacturing, international standards, customer service, technical support, resilient solid tyres, tread depth, electronic compatibility, market leadership, export certification, quality management, sustainability initiatives, forklift uptime, engineering excellence, premium material handling, automotive, environmental services, renewables & environment",'+91 79268 55619,"Outlook, Microsoft Office 365, Amazon AWS, Nginx, Multilingual, Vimeo, WordPress.org, Google Analytics, Mobile Friendly, reCAPTCHA, Woo Commerce, Google translate API, Bootstrap Framework, YouTube, Cedexis Radar, Google translate widget, Google Tag Manager, Adobe Media Optimizer, Circle, SAP, Basis, Google Workspace, Render, AI","","","","",40400000,"",685fc0be58cfc3000199eb7f,"","Rubber King Tyre Group, based in Ahmedabad, India, is a prominent manufacturer and exporter of automotive components, specializing in quality flaps and butyl inner tubes. Founded in 1981, the company has grown significantly and is recognized as a key player in the Indian tyre manufacturing sector. It established its first flap plant in 1982 and expanded its production capabilities with a tube plant in 1993.

The company produces a variety of products, including butyl inner tubes for different tyre applications, automotive flaps, and tyre curing bladders. Rubber King exports its products to over 70 countries and has been acknowledged as a successful ""Export House"" by the Ministry of Commerce for eight consecutive years. The company is committed to quality, holding several certifications such as ISO 9001, ISO 14001, and ISO 45001, and employs improvement tools like Six Sigma and Kaizen to maintain high standards. Led by founder Dinesh Gawarvala, Rubber King prioritizes customer satisfaction, workplace safety, and community engagement.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6858ee3c8b2dc10001b686ee/picture,""
Commercial Tyre Business,Commercial Tyre Business,Cold,"",3,publishing,jashpalpurohit111@gmail.com,http://www.commercialtyrebusiness.com,http://www.linkedin.com/company/commercial-tyre-business,https://www.facebook.com/CommercialTyreBusiness/,"",348 Crewe Road,Crewe,England,United Kingdom,CW2 6,"348 Crewe Road, Crewe, England, United Kingdom, CW2 6","agricultural tyres, fleet management, digital magazines, industrial tyres, telematics, publishing, tyres, magazines, retreading, truck tyres, commercial tyres, book & periodical publishing, tyre recycling, bus tyres, vehicle maintenance, tyre performance, eco-friendly solutions, tyre management, heavy-duty tyres, construction equipment, sustainable innovation, fuel efficiency, tyre industry news, automotive publishing, price analysis, vehicle electrification, partnership strategies, tyre safety, market trends, soles and tracks, earthmover tyres, retreading industry, logistics solutions, agricultural equipment, agricultural productivity, digital publications, tyre specifications, smart tyre technology, global expansion, supply chain issues, automotive finance, partnerships in the tyre industry, independent tyre dealers, tyre specialists, customer education, quality assurance, industry regulations, innovation in tyre production, performance optimisation, aftermarket services, digital subscription models, editorial coverage, webinars and online events, trade fairs, advertising strategies, branding in the tyre industry, media","","Facebook Widget, Google Font API, Nginx, YouTube, Google Tag Manager, Facebook Custom Audiences, WordPress.org, Facebook Login (Connect), Mobile Friendly","","","","","","",685fc0be58cfc3000199eb81,"","Commercial Tyre Business (CTB) is a UK-based industry journal that has been a key resource for the truck and agricultural tyre sector for over 13 years. It serves as a media and information platform for commercial tyre professionals, providing insights into market trends, manufacturing updates, and technological advancements.

CTB offers industry news coverage, market analysis, and multimedia content, including interviews with industry leaders and video briefings. Its specialized content is available in both print and digital formats, focusing on the commercial tyre markets. The publication covers significant developments in the tyre industry and provides expert insights that benefit tyre manufacturers, fleet operators, telematics providers, distributors, and retailers.

With a niche focus on truck and agricultural tyres, CTB has a global reach, covering international developments and integrating multimedia elements into its journalism. It plays a vital role in connecting various stakeholders within the commercial tyre industry through targeted reporting and analysis.",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6828c332cab83c000174b54b/picture,""
Falken Tyre Europe GmbH,Falken Tyre Europe,Cold,"",150,automotive,jashpalpurohit111@gmail.com,http://www.falkentyre.com,http://www.linkedin.com/company/falken-tyre-europe-gmbh,https://www.facebook.com/falken,https://twitter.com/FalkenTyres,74 Berliner Strasse,Offenbach,Hesse,Germany,63065,"74 Berliner Strasse, Offenbach, Hesse, Germany, 63065","reifen, motor vehicle manufacturing, tyres, suv tyres, 4x4 tyres, van tyres, truck tyres, tyre sizes, brand search, model search, vehicle registration, eu tyre label, tyre approval certificates, tyre pressure recommendation, dealer locator, warranty, technical aids, runflat technology, 4d-nano design, neo-t01, gyroblade, silent core, sustainable tyres, microscopic analysis technique, sensing core, tyre internal power generation, ev design, motorsport, action and lifestyle, fuel voucher promotion, seasonal tyres, uhp all-season tyres, sports performance, wildpeak r/t01, rugged terrain performance, off-road application, commercial vehicle patterns, energy-efficient tyres, happy customers, falken family, corporate responsibility, sustainability, environmental governance, production facilities, test tracks, dealer search, careers, falken innovation, customer satisfaction, url registration, automotive, environmental services, renewables & environment",'+49 69 24752520,"MailChimp SPF, Microsoft Office 365, Outlook, Salesforce, Google Font API, Vimeo, Google Analytics, YouTube, Google Tag Manager, Adobe Media Optimizer, Mobile Friendly, Cedexis Radar, Google Maps, Google Maps (Non Paid Users), Nginx","","","","",134000,"",685fc0be58cfc3000199eb7a,"","Falken Tyre Europe GmbH is the European branch of Sumitomo Rubber Industries Ltd., one of the largest tyre manufacturers globally. Based in Offenbach am Main, Germany, the company manages the marketing and distribution of a wide variety of tyres throughout Europe. Falken is a key supplier of original equipment tyres for many leading car brands and also caters to the aftermarket sector.

The company offers tyres for various vehicle types, including passenger cars, light trucks, medium trucks, SUVs, and pick-up trucks. Falken's products are developed through rigorous testing, including participation in motorsport events, which helps enhance their tyre technology for improved performance and driving enjoyment. Falken Tyre Europe adheres to high-quality standards, holding certifications such as ISO 9001, ISO/TS 16949, and ISO 14001, reflecting its commitment to quality and environmental responsibility.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68501ec4668acf0001d452fe/picture,""
The General Tyre and Rubber Company of Pakistan Limited,The General Tyre and Rubber Company of Pakistan Limited,Cold,"",390,automotive,jashpalpurohit111@gmail.com,http://www.gentipak.com,http://www.linkedin.com/company/general-tyre-pakistan,https://facebook.com/GeneralTyre.GTR/,https://twitter.com/general_tyre,"",Bhilwara,Rajasthan,India,311001,"Bhilwara, Rajasthan, India, 311001","tyres manufacturing & automotive, motor vehicle manufacturing, tyre manufacturing, passenger car tyres, suv tyres, light truck tyres, tractor tyres, truck tyres, bus tyres, motorcycle tyres, rickshaw tyres, quality products, market leadership, customer satisfaction, original equipment manufacturers, replacement market, government contracts, export market, extensive distribution network, eco-friendly practices, innovation, competitive pricing, social responsibility, automotive industry, pakistan, tyre technology, customer demographics, commercial transport, agricultural sector, diverse customer base, production capacity, tyre care consultancy, authorized dealers, market segments, competitive landscape, automotive",'+92 21 35080172,Remote,"","","","",32550000,"",685fc0be58cfc3000199eb8b,5531,"Ghandhara Tyre and Rubber Company Limited, established in 1963, is one of Pakistan's largest automotive tyre manufacturers. Headquartered in Karachi, the company was formerly known as The General Tyre and Rubber Company of Pakistan Limited until its name change in December 2021. 

The company specializes in manufacturing and trading a wide range of tyres, including those for passenger cars, SUVs, light trucks, and motorcycles. It also provides wheel alignment and balancing services. Ghandhara Tyre serves various markets, including original equipment manufacturers, the replacement market through a network of over 165 authorized dealers, government institutions, and international export markets. 

Ghandhara Tyre is owned by Bibojee Services (Private) Limited and Pakistan Kuwait Investment Company (Private) Limited, with technical support from Continental AG, which has been a partner since acquiring General Tire International Corporation in 1987.",1963,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6837073715855800012b8a4c/picture,""
GTR Tyre,GTR Tyre,Cold,"",140,automotive,jashpalpurohit111@gmail.com,http://www.gtr.com.pk,http://www.linkedin.com/company/gtrtyre,https://www.facebook.com/GTRTyre,https://twitter.com/GtrTyre,2b Landhi Road,Karachi,Sindh,Pakistan,"","2b Landhi Road, Karachi, Sindh, Pakistan","gtr tyres, passenger car tyres, light truck tyres, radial tyres, bias tyres, tractor tyres, truck bus otr tyres, motorcycle tyres, rickshaw tyres, suv tyres, tyre manufacturing, tyre performance, tyre durability, quality assurance, iso certification, tyre distribution, aftermarket sales, oem tyres, automotive tyres, road safety, high performance tyres, comfort ride, fuel economy, wet traction, executive management, corporate governance, warranty services, environmental management, technical assistance, tyre technology, dealer network, market leadership, competitive pricing, customer satisfaction, supply chain management, social responsibility, research and development, brand communication, market expansion, export markets, tread design, tyre maintenance, technical services agreement, manufacturing capacity, quality standards, safety standards, user experience, innovation in tyres, tread patterns, performance ratings, logistics & supply chain, research & development, ux",'+92 21 35080172,"Facebook Widget, Mobile Friendly, Facebook Login (Connect), reCAPTCHA, WordPress.org, Google Font API, YouTube, Google Maps, Vimeo, Bootstrap Framework, Google Tag Manager","","","","","","",685fc0be58cfc3000199eb8c,"","GTR Tyre, also known as Ghandhara Tyre & Rubber Company Limited, is Pakistan’s first and largest automotive tyre manufacturer, established in 1963. Headquartered in Landhi, Karachi, the company began production in 1964 and has grown to a capacity of 4.1 million tyres annually. GTR specializes in steel-belted tubeless radial tyres for a variety of vehicles, including cars, SUVs, trucks, and buses, and serves as a primary tyre supplier for major Pakistani automakers.

The company has a strong commitment to quality, holding certifications such as ISO 9001, ISO 14001, and ISO 45001. GTR has also rebranded to emphasize safety, durability, and innovation in its products. It operates a dealer network across Pakistan and offers tyre-care consultancy, including training programs for drivers and service teams. With over 60 years of experience, GTR focuses on producing tyres that meet international quality standards while being optimized for local road conditions.",1963,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6852969d5c10350001bd72d0/picture,""
MAXXIS Tyre Bangladesh,MAXXIS Tyre Bangladesh,Cold,"",6,automotive,jashpalpurohit111@gmail.com,http://www.maxxis.com.bd,http://www.linkedin.com/company/maxxis-tyre-bangladesh,"","",39 VIP Road,Dhaka,Dhaka Division,Bangladesh,1000,"39 VIP Road, Dhaka, Dhaka Division, Bangladesh, 1000","motor vehicle manufacturing, automotive","",Mobile Friendly,"","","","","","",685fc0be58cfc3000199eb8a,"","MAXXIS Tyre Bangladesh, officially known as Maxxis Bangladesh Co. Ltd., is a prominent tire importer and distributor in Bangladesh with over 20 years of experience. The company is part of Maxxis International, which has a global reputation for quality and performance in tire manufacturing, established over 50 years ago.

The company specializes in a wide range of tires, particularly passenger car radial tires, and is recognized as a leader in this segment within the Bangladeshi market. MAXXIS Tyre Bangladesh emphasizes high-quality products and exceptional customer service, aiming to build lasting relationships with its clients. The company serves a diverse customer base, including individual vehicle owners and commercial fleets, reflecting its strong market presence.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66eb9662aa21f80001ff6d0f/picture,""
Tyre News Media,Tyre News Media,Cold,"",2,information technology & services,jashpalpurohit111@gmail.com,http://www.tyrenews.co.uk,http://www.linkedin.com/company/tyre-news-media,"","","",London,"",United Kingdom,"","London, United Kingdom","technology, information & media, tyres, high-performance, all-season, truck tyres, neurodiversity support, automotive industry, safety awareness, digital programmes, fuel efficiency, durability, grip, extended tread life, advanced technology, loading capacity, vehicle inspections, tyre maintenance, agricultural tyres, electric vehicle, enhanced safety, fleet management, tyre pressure monitoring, sustainability, recycling, performance optimization, wet grip, low noise levels, digital tools, automotive charity, safety standards, personal stories, inclusive workplace, high-speed transport, long-distance applications, heavy loads, tyre manufacturing, motorcycle safety, cost reduction, weight management, innovation, hybrid formula, soil protection, commercial vehicles, custom solutions, extended range, safety inspections, service network, digital r&d tools, equipment suppliers, manufacturer partnerships, cutting-edge technology, information technology & services, environmental services, renewables & environment",'+44 712 864 3202,"Outlook, Amazon AWS, reCAPTCHA, Google Tag Manager, Google AdSense, YouTube, Mobile Friendly, Hotjar, Google Font API, Affiliate Window","","","","","","",685fc0be58cfc3000199eb84,"","Tyre News Media is a UK-based digital news platform dedicated to the tyre industry. It provides comprehensive coverage, including timely updates, insights, and analysis for professionals such as manufacturers, distributors, retailers, and fleet managers. The platform is independent and editorially driven, focusing on fostering community engagement and sparking conversations within the sector.

The company offers a range of services, including news reporting on industry trends, technological advancements, and sustainability initiatives. It also facilitates dialogue among industry professionals through digital content. Additionally, Tyre News Media provides tailored advertising solutions, allowing brands to connect with decision-makers in the tyre market. With a significant portion of its audience holding leadership roles, the platform effectively reaches a B2B audience, primarily composed of industry professionals.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f776870a5d0c00012cab05/picture,""
Tyre Doctor,Tyre Doctor,Cold,"",59,mining & metals,jashpalpurohit111@gmail.com,http://www.tyredoctor.com.au,http://www.linkedin.com/company/tyredoctor,https://facebook.com/tyredoctorotr,"",13 Massey Ave,Leeton,New South Wales,Australia,2705,"13 Massey Ave, Leeton, New South Wales, Australia, 2705","mining wheels, tyre repairs, earthmover tyres, mining tyres, solid fill tyres, crack testing, otr tyres, mining, tyre supply, earthmoving tyres, tyre repair, puncture protection, tyre fitting, tyre management, rim testing, rim repair, valving components, onsite services, heavy equipment tyres, articulated dump truck tyres, rigid dump truck tyres, loader tyres, grader tyres, scraper tyres, open cut mining tyres, underground mining tyres, truck tyres, bus tyres, industrial tyres, second-hand tyres, quality service, tyre performance, customer satisfaction, iso certified, emergency tyre services, scheduled maintenance, inspections and reporting, complete tyre management, tyre bay equipment, non-destructive testing, hot vulcanised repairs, fleet management, tyre optimisation, cost savings, reliable performance, durable tyres, state-of-the-art equipment, tyre inventory, supply chain management, industrial applications, specialised transport rigs, customer support, mining consultancy, safety management, environmental responsibility, logistics & supply chain","","Outlook, Google Cloud Hosting, Android","","","","","","",685fc0be58cfc3000199eb83,"","Tyre Doctor is a reputable company in the automotive service and collision repair industry, focusing on mining and earthmoving tyres and wheels. Founded in 1986 by Sel Hester, the company began by offering hot vulcanised tyre repair services for the agricultural sector and has since expanded its reach across Queensland and New South Wales, Australia.

The company provides a variety of services, including tyre repair, tyre fitting, and tyre management. These services are tailored to support large industrial projects, particularly in the mining sector, where safety and reliability are crucial. Tyre Doctor is committed to delivering high-quality tyres and wheels designed to meet the rigorous demands of mining and earthmoving applications. With over 30 years of experience, Tyre Doctor has established itself as a trusted partner for major companies in these industries.",1986,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6709fbfa2f2e810001d25dea/picture,""
MICHELIN Aircraft Tyre,MICHELIN Aircraft Tyre,Cold,"",120,airlines/aviation,jashpalpurohit111@gmail.com,"",http://www.linkedin.com/company/michelin-aircraft-tyre,"","",15 Place des Carmes Dechaux,Clermont-Ferrand,Auvergne,France,63100,"15 Place des Carmes Dechaux, Clermont-Ferrand, Auvergne, France, 63100","bias tire, radial tire, retread, connected tire, tire manufacturer, airlines & aviation, airlines/aviation, aviation & aerospace","","","","","","","","",685fc0be58cfc3000199eb76,"","Michelin Aircraft Tyre is a division of the Michelin Group, specializing in aircraft tires and related products. With over 50 years of experience in the aviation industry, the company is recognized for its commitment to innovation and sustainability. Michelin Aircraft offers a wide range of products, including radial and bias tires, tubes, and the Michelin Air X Sky Light tire, which is designed to be lighter and longer-lasting.

The company serves a diverse clientele, including major aircraft manufacturers like Boeing and Airbus, as well as prominent airlines such as Air France and Emirates. Michelin Aircraft caters to various aviation sectors, including commercial, regional, general aviation, and military aviation. Their focus on developing environmentally friendly products while maintaining high safety standards underscores their dedication to sustainability and performance in the aviation industry.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68592925f0b44800010ee2dc/picture,""
Tyre Response Group,Tyre Response Group,Cold,"",43,mining & metals,jashpalpurohit111@gmail.com,http://www.tyreresponsegroup.com,http://www.linkedin.com/company/tyreresponsegroup,"","","",Perth,Western Australia,Australia,6000,"Perth, Western Australia, Australia, 6000","otr tyre management, tyre maintenance, mining tyres, tyre fitters, training, mining, tyre fitting, tyre selection, customized tyre solutions, cost optimization, mining tire services, asset management, pressure control, tread depth monitoring, site inspections, tyre consulting, contract labour, employee training, tyre performance tracking, safety standards, supply chain logistics, environmental management, independent tyre consulting, tyre rotation, mining operations, proactive maintenance, technician training, tyre technicians, tyre life extension, operational efficiency, client relationship management, safety procedures, agile tyre services, experienced workforce, mining tyre fitters, mobile workforce, workplace culture, success sharing programs, team collaboration, safety certifications, mining industry standards, tyre quality assurance, client satisfaction, risk management, enhanced productivity, tyre repairs, field competency evaluations, certified tire technicians, mining consultancy, employee development",'+61 487 203 783,"Outlook, Woo Commerce, Google Tag Manager, Google Font API, reCAPTCHA, Mobile Friendly, YouTube, Hotjar, WordPress.org, IoT, SharePoint, Android, Flutter, Python, Node.js","","","","","","",685fc0be58cfc3000199eb86,"","Tyre Response Group (TRG) is an independent provider of Off-The-Road (OTR) tyre management and maintenance services based in Perth, Western Australia. With over 100 years of combined industry experience in its leadership team, TRG focuses on safety, performance, and cost-effective solutions for the mining, construction, and heavy machinery sectors.

TRG offers a range of services, including OTR tyre training, consulting for procurement strategies, and contract labour for tyre fitting teams. They specialize in tyre lifecycle management, ensuring the selection, maintenance, and optimization of third-party OTR tyres to maximize value and longevity. The company operates primarily in Western Australia, particularly in resource-rich areas like Kalgoorlie-Boulder, and is committed to delivering best-in-class tyre management while fostering a positive workplace culture and emphasizing environmental responsibility.",2021,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685dd3ae7f90bd0001f81153/picture,""
PROMETEON TYRE GROUP,PROMETEON TYRE GROUP,Cold,"",3100,automotive,jashpalpurohit111@gmail.com,http://www.prometeon.com,http://www.linkedin.com/company/prometeontyregroup,https://facebook.com/PrometeonTyreGroup/,"",25 Viale Piero e Alberto Pirelli,Milan,Lombardy,Italy,20126,"25 Viale Piero e Alberto Pirelli, Milan, Lombardy, Italy, 20126","truck, bus, agro, otr tyres, motor vehicle manufacturing, tire manufacturing, industrial tires, transport solutions, agricultural tires, off-the-road tires, sustainability, innovation, quality, safety, prometeon technology, serie 02, truck tires, bus tires, eco-friendly materials, tire management solutions, original equipment manufacturers, global distribution, commercial transport, heavy-duty applications, customer satisfaction, research and development, high-performance tires, motorsport, partnerships, reliability, efficiency, environmental impact, multi-brand strategy, customer-focused, technological advancement, competitive performance, industry leadership, automotive, environmental services, renewables & environment, research & development","","Cloudflare DNS, Amazon SES, Rackspace MailGun, Outlook, Sequence Monitor SPF, Microsoft Office 365, CloudFlare Hosting, MailUp, React, Campaign Monitor, GitHub Hosting","","","","",978817000,"",685fc0be58cfc3000199eb8d,5531,"Prometeon Tyre Group is a global tire manufacturer that specializes in producing and selling tires for various industries, including transportation, agriculture, and off-the-road applications. Established in 2017 as a spin-off from Pirelli Tyre, the company initially focused on Pirelli-branded tires and has since expanded its offerings.

With a presence in over 15 countries and operations across five continents, Prometeon engages with diverse cultures and fosters an inclusive work environment. The company is dedicated to excellence and innovation, promoting teamwork and ethical leadership among its employees. Its product range includes truck tires for heavy-duty transport, bus tires for passenger safety, AGRO tires for agricultural use, and OTR tires for rugged environments like construction and mining.

Prometeon emphasizes customer satisfaction and leverages its technological expertise to develop high-quality products. The company is also committed to sustainability, focusing on improving environmental impact and product performance through innovation.",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6859675353fb3f00019188b3/picture,""
Tyre & Rubber Recycling,Tyre & Rubber Recycling,Cold,"",20,publishing,jashpalpurohit111@gmail.com,http://www.tyreandrubberrecycling.com,http://www.linkedin.com/company/tyre-and-rubber-recycling-mag,"","",348 Crewe Road,Crewe,England,United Kingdom,CW2 6,"348 Crewe Road, Crewe, England, United Kingdom, CW2 6","publishing, magazines, digital magazines, tyres, rubber, recycling, tyre recycling, media, waste management, book & periodical publishing, rubber recycling, scrap tyre, recycling technology, sustainability, environmental regulations, recycling equipment, tyre collection, reprocessor, recycler, tyre disposal, technical papers, government legislation, recycling news, business analysis, industrial recycling, podcasts, event coverage, industry interviews, market analysis, recycling commodities, research and development, tyre industry, material recovery, eco-friendly solutions, tyre shredding, pyrolysis, recycling forum, ecolomondo, recircle awards, innovative recycling, green technology, collaboration, joint ventures, recycling milestones, sustainable practices, waste tyre solutions, business growth, industry standards, environmental impact, recycling challenges, product lifecycle, collection systems, cross-industry partnerships, legislative changes, tyre retreading, vehicle fleet management, environmental services, renewables & environment, research & development",'+44 80 0470 1371,"Amazon CloudFront, Route 53, Outlook, Microsoft Office 365, Amazon AWS, Facebook Custom Audiences, Cedexis Radar, Google Font API, reCAPTCHA, Google Tag Manager, MailChimp, Google Analytics, Facebook Login (Connect), Mobile Friendly, Facebook Widget, WordPress.org, OpenSSL, Adobe Media Optimizer, Vimeo, YouTube, Apache, ","","","","","","",685fc0be58cfc3000199eb85,"",No specific information found.,2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685fa583213b010001c4a54a/picture,""
